Nombre_de_clients;Temps_moyen_ns;Min_Temps_ns;Max_Temps_ns;Ecart_Type_ns
1;30529600;30529600;30529600;0.0
2;1040150;928100;1152200;112050.0
10;2699440;1299400;4103500;928589.5004790869
100;13855409;1352500;25882300;6976373.27770769
1000;8356150;1198400;128064800;2.996718981788606E7
5000;7360120;525100;307029900;7.823948724830812E7
50000;4634118;436500;306068000;3.703753723305639E7
1;30111900;30111900;30111900;0.0
2;1189550;1066700;1312400;122850.0
10;2521170;1196100;3792200;871711.3020375496
100;12193571;1271800;21247200;6169356.7433728855
1000;8795728;1140800;117457600;4.482277478589943E7
5000;4288497;719400;81092900;3.360717128906339E7
50000;4160538;428900;253224200;3.6309229373730935E7
